"name","kind","alias_of","upstream_package","family","scope","exclusion_reason","problem_representation","fixed_adaptive_behavior","jacobian_requirement","linear_solver_requirement","dense_output_requirement","controller_requirement","required_features","rust_status","rust_name","rust_public_name","rust_public_export_detected","rust_algorithm_implementation_detected","julia_status","julia_compliance_detected","upstream_source","upstream_line"
"CG4a","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","108"
"LieEuler","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","77"
"LieRK4","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","105"
"LinearExponential","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","194"
"MagnusAdapt4","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","adaptive-capable","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","152"
"MagnusGauss4","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","79"
"MagnusGL4","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","100"
"MagnusGL6","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","88"
"MagnusGL8","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","92"
"MagnusLeapfrog","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","74"
"MagnusMidpoint","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","70"
"MagnusNC6","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","84"
"MagnusNC8","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","96"
"RKMK2","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","103"
"RKMK4","algorithm",,"OrdinaryDiffEqLinear","linear and Lie-group methods","included",,"ODEProblem with linear/operator ODEFunction","fixed-step","linear/operator ODEFunction required; nonlinear Jacobian not required","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator action; matrix functions or Lie-group operations","missing",,,"False","False","no-matched-compliance-detected","False","lib/OrdinaryDiffEqLinear/src/algorithms.jl","104"
"Alshina2","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Alshina2","Alshina2","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","460"
"Alshina3","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Alshina3","Alshina3","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","484"
"Alshina6","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Alshina6","Alshina6","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","508"
"Anas5","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Anas5","Anas5","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","236"
"AutoDP5","composite-constructor",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","automatic-composite","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","automatic stiffness/switching controller and component controllers required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","AutoDP5","AutoDP5","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","218"
"BS3","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Bs3","Bs3","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","106"
"BS5","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Bs5","Bs5","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","191"
"DP5","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Dp5","Dp5","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","212"
"Euler","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Euler","Euler","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","17"
"FRK65","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Frk65","Frk65","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","270"
"Heun","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Heun","Heun","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","37"
"Midpoint","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Midpoint","Midpoint","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","65"
"MSRK5","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Msrk5","Msrk5","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","324"
"MSRK6","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Msrk6","Msrk6","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","334"
"OwrenZen3","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","OwrenZen3","OwrenZen3","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","126"
"OwrenZen4","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","OwrenZen4","OwrenZen4","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","147"
"OwrenZen5","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","OwrenZen5","OwrenZen5","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","168"
"PSRK3p5q4","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Psrk3p5q4","Psrk3p5q4","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","380"
"PSRK3p6q5","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Psrk3p6q5","Psrk3p6q5","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","400"
"PSRK4p7q6","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Psrk4p7q6","Psrk4p7q6","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","360"
"Ralston","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Ralston","Ralston","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","51"
"Ralston4","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Ralston4","Ralston4","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","314"
"RK4","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Rk4","Rk4","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","86"
"RKM","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Rkm","Rkm","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","295"
"RKO65","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Rko65","Rko65","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","249"
"SIR54","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Sir54","Sir54","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","436"
"SplitEuler","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; adaptive controller where applicable; method-specific interpolation; split explicit/implicit right-hand side","implemented-and-julia-tested","SplitEuler","SplitEuler","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","28"
"Stepanov5","algorithm",,"OrdinaryDiffEqLowOrderRK","low-order explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; adaptive controller where applicable; method-specific interpolation","implemented-and-julia-tested","Stepanov5","Stepanov5","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowOrderRK/src/algorithms.jl","417"
"CarpenterKennedy2N54","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CarpenterKennedy2N54","CarpenterKennedy2N54","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","56"
"CFRLDDRK64","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","fixed-step","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CFRLDDRK64","CFRLDDRK64","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","110"
"CKLLSRK43_2","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK43_2","CKLLSRK43_2","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","348"
"CKLLSRK54_3C","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK54_3C","CKLLSRK54_3C","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","369"
"CKLLSRK54_3C_3R","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK54_3C_3R","CKLLSRK54_3C_3R","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","453"
"CKLLSRK54_3M_3R","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK54_3M_3R","CKLLSRK54_3M_3R","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","474"
"CKLLSRK54_3M_4R","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK54_3M_4R","CKLLSRK54_3M_4R","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","600"
"CKLLSRK54_3N_3R","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK54_3N_3R","CKLLSRK54_3N_3R","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","495"
"CKLLSRK54_3N_4R","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK54_3N_4R","CKLLSRK54_3N_4R","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","579"
"CKLLSRK65_4M_4R","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK65_4M_4R","CKLLSRK65_4M_4R","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","620"
"CKLLSRK75_4M_5R","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK75_4M_5R","CKLLSRK75_4M_5R","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","662"
"CKLLSRK85_4C_3R","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK85_4C_3R","CKLLSRK85_4C_3R","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","516"
"CKLLSRK85_4FM_4R","algorithm",,"OrdinaryDiffEqLowStorageRK","low-storage explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; low-storage workspaces; stage/step limiters","implemented-and-julia-tested","CKLLSRK85_4FM_4R","CKLLSRK85_4FM_4R","True","True","matched-compliance-detected","True","lib/OrdinaryDiffEqLowStorageRK/src/algorithms.jl","641"
